text,label
Why was I charged twice this month? Please help.,Billing
It's urgent. Can I get a refund for my last invoice?,Billing
Can someone look into this? I didn't authorize this transaction.,Billing
It's urgent. Can I get a refund for my last invoice?,Billing
I want to refer a friend — how does it work? Need assistance.,Other
I'm getting a server error while signing in. Kindly check.,Technical
Is there a dark mode for the app? It's urgent.,Other
The invoice amount is higher than expected. Please help.,Billing
Kindly check. My billing statement looks incorrect.,Billing
I didn't authorize this transaction.,Billing
It's urgent. I didn't authorize this transaction.,Billing
Can I get a refund for my last invoice? Can someone look into this?,Billing
Kindly check. Why is my connection speed so slow?,Technical
Can I customize the notification sounds? It's urgent.,Other
It's urgent. I was billed after cancelling my subscription.,Billing
Where can I find the user manual? Please help.,Other
Can I get a refund for my last invoice? Need assistance.,Billing
Can someone look into this? My billing statement looks incorrect.,Billing
Kindly check. Do you offer student discounts?,Other
Please help. What is this unexpected charge on my account?,Billing
It's urgent. Why is my connection speed so slow?,Technical
Need assistance. Can I customize the notification sounds?,Other
Where can I see my usage history? Need assistance.,Other
I can't install the latest update. It's urgent.,Technical
Please help. How do I close my account permanently?,Other
Is there a dark mode for the app? Can someone look into this?,Other
Can I get a refund for my last invoice? Can someone look into this?,Billing
Can I merge two accounts into one? Need assistance.,Other
My VPN stopped working today. Can someone look into this?,Technical
Can someone look into this? Is there a dark mode for the app?,Other
I want to refer a friend — how does it work?,Other
Please help. I'm unable to reset my password.,Technical
Kindly check. Can I get a breakdown of my last bill?,Billing
Why isn't the camera working in the app?,Technical
I need help updating my payment method. Need assistance.,Billing
Need assistance. Can I customize the notification sounds?,Other
Need assistance. How do I change my billing address?,Billing
Please help. The invoice amount is higher than expected.,Billing
How do I change my profile picture?,Other
It's urgent. What’s the difference between basic and premium plans?,Other
I was billed after cancelling my subscription. Kindly check.,Billing
Is there a dark mode for the app?,Other
Why was I charged twice this month?,Billing
I lost access to my admin dashboard.,Technical
The website is not loading properly. Need assistance.,Technical
Can I customize the notification sounds? Can someone look into this?,Other
Need assistance. I can't install the latest update.,Technical
My VPN stopped working today. Kindly check.,Technical
I need help updating my payment method. It's urgent.,Billing
Why isn't the camera working in the app?,Technical
Why isn't the camera working in the app? Can someone look into this?,Technical
Kindly check. I'm getting a server error while signing in.,Technical
Why is my connection speed so slow? Need assistance.,Technical
Kindly check. My VPN stopped working today.,Technical
Can someone look into this? The app crashes when I open it.,Technical
Please help. What is this unexpected charge on my account?,Billing
I need help updating my payment method. Need assistance.,Billing
Is there a dark mode for the app?,Other
How do I close my account permanently?,Other
The app crashes when I open it. Kindly check.,Technical
I was billed after cancelling my subscription. Can someone look into this?,Billing
How do I close my account permanently? Please help.,Other
Need assistance. Where can I see my usage history?,Other
Please help. Why isn't the camera working in the app?,Technical
Can someone look into this? My VPN stopped working today.,Technical
Why isn't the camera working in the app? Please help.,Technical
Need assistance. How do I change my profile picture?,Other
I didn't authorize this transaction.,Billing
Need assistance. My VPN stopped working today.,Technical
Need assistance. What’s the difference between basic and premium plans?,Other
Can I get a refund for my last invoice?,Billing
Please help. Why isn't the camera working in the app?,Technical
How do I change my billing address?,Billing
Please help. Can I customize the notification sounds?,Other
It's urgent. I lost access to my admin dashboard.,Technical
I didn't authorize this transaction. Please help.,Billing
Why isn't the camera working in the app? Can someone look into this?,Technical
Please help. My VPN stopped working today.,Technical
Can I get a refund for my last invoice? Kindly check.,Billing
Where can I find the user manual? Can someone look into this?,Other
Can someone look into this? The app crashes when I open it.,Technical
I need help updating my payment method. Need assistance.,Billing
Please help. Where can I see my usage history?,Other
My account keeps logging me out. Please help.,Technical
Kindly check. What’s the difference between basic and premium plans?,Other
I lost access to my admin dashboard.,Technical
Need assistance. The app crashes when I open it.,Technical
Is there a dark mode for the app? Need assistance.,Other
It's urgent. Can I get a breakdown of my last bill?,Billing
Need assistance. What’s the difference between basic and premium plans?,Other
Why isn't the camera working in the app?,Technical
